scope,config,mode,instruments,eligible,positive_net,positive_gross,positive_common,median_cagr,median_drawdown,median_full_return,thin_samples,exhausted,trades,channel_exits,initial_exits,trailing_exits
Priority assets,initial_trailing-e200-x20-i3-t3,long,60,60,47,52,47,0.007513643445802076,-0.1572399923468224,0.07643779410851437,1,0,1451,0,17,1434
Priority assets,initial_trailing-e200-x20-i3-t3,short,60,60,9,19,9,-0.010681280673357774,-0.21674260198515916,-0.1002490970091407,12,0,410,0,11,399
Priority assets,initial_trailing-e200-x20-i3-t4,both,60,60,41,46,41,0.011924434002155815,-0.29093746935926457,0.12371559390572917,1,0,1408,0,243,1165
Priority assets,initial_trailing-e200-x20-i3-t4,long,60,60,52,56,52,0.01613920481018949,-0.17825239569034046,0.16265124317115054,1,0,1068,0,171,897
Priority assets,initial_trailing-e200-x20-i3-t4,short,60,60,15,17,15,-0.012680744008681077,-0.22619917301962555,-0.11800389893247237,23,0,340,0,72,268
Priority assets,all-e10-x10-i2-t3,both,60,60,13,29,14,-0.030152530598801852,-0.4700117799955471,-0.3050528292051087,0,0,7494,1213,2165,4116
Priority assets,all-e10-x10-i2-t3,long,60,60,48,58,47,0.022464120457144188,-0.25876517620753875,0.29835523575988965,1,0,4019,744,1014,2261
Priority assets,all-e10-x10-i2-t3,short,60,60,2,4,2,-0.06334295226047193,-0.5492683630283095,-0.5017363512681239,1,0,3770,562,1191,2017
Priority assets,all-e10-x10-i2-t4,both,60,60,12,31,14,-0.01638916206252622,-0.48159465106408494,-0.2364390557042429,0,0,6464,2660,2449,1355
Priority assets,all-e10-x10-i2-t4,long,60,60,52,58,53,0.03249770391190554,-0.2685015655167414,0.37725244357154175,1,0,3619,1667,1162,790
Priority assets,all-e10-x10-i2-t4,short,60,60,2,7,3,-0.08174665011136611,-0.6087225947465622,-0.5881722657903631,1,0,3531,1325,1516,690
Priority assets,all-e10-x10-i3-t3,both,60,60,11,29,9,-0.030297180695054715,-0.5049991696717042,-0.29256190898169593,0,0,7171,1529,69,5573
Priority assets,all-e10-x10-i3-t3,long,60,60,50,57,49,0.023415499179795463,-0.26476577806302803,0.32527486115103943,1,0,3873,891,25,2957
Priority assets,all-e10-x10-i3-t3,short,60,60,2,3,2,-0.06470196370707376,-0.5768542181754572,-0.5224022774377017,1,0,3660,782,43,2835
Priority assets,all-e10-x10-i3-t4,both,60,60,14,29,15,-0.022761511836811354,-0.5035425416069232,-0.2251753189919546,0,0,5919,3459,763,1697
Priority assets,all-e10-x10-i3-t4,long,60,60,53,57,53,0.031150798238758437,-0.2868483359813988,0.35098909744160334,1,0,3409,2091,360,958
Priority assets,all-e10-x10-i3-t4,short,60,60,2,6,2,-0.0881346508664228,-0.6261504847206154,-0.6016187463116134,1,0,3357,1949,464,944
Priority assets,all-e10-x20-i2-t3,both,60,60,14,28,14,-0.03001676534665032,-0.4958762393326933,-0.3132335217441529,0,0,7215,77,2221,4917
Priority assets,all-e10-x20-i2-t3,long,60,60,50,57,47,0.026835637441361304,-0.26971170343042594,0.3615756823648175,1,0,3847,45,1039,2763
